year	principal	coupon	yield	cusip 041609
2024	370000	5	2.90	Y51
2025	525000	5	2.73	Y69
2026	535000	5	2.61	Y77
2027	540000	5	2.55	Y85
2028	545000	5	2.49	Y93
2029	550000	5	2.51	Z27
2030	555000	5	2.53	Z35
2031	535000	5	2.54	Z43
2032	545000	5	2.56	Z50
2033	550000	5	2.56	Z68
2034	545000	5	2.65	Z76
2035	555000	4	2.91	Z84
2036	570000	4	3.07	Z92
2037	580000	4	3.24	2A5
2038	590000	4	3.38	2B3
2039	595000	4	3.47	2C1
2040	605000	4	3.57	2D9
2041	620000	4	3.66	2E7
2042	635000	4	3.73	2F4
2043	650000	4	3.79	2G2
2044	550000	4	3.85	2H0
2045	565000	4	3.89	2J6
2046	575000	4	3.93	2K3
2047	595000	4	3.98	2L1
2048	610000	4	4.03	2M9
2049	630000	4	4.07	2N7
2050	650000	4	4.08	2P2
2051	670000	4	4.09	2Q0
2052	690000	4	4.10	2R8
2053	560000	4	4.11	2S6
